Timestamp,Usia,Gender,Lokasi Pengunjung,Apakah Anda pengguna sepatu Futsal merek Ortuseight?,Apa pertimbangan Anda ketika ingin menggunakan sepatu Futsal Ortuseight? (boleh memilih lebih dari satu jawaban),Column1,Column2,Column3,H1,H2,H3,H4,KP1,KP2,KP3,KP4,KP5,KP6,KP7,KP8,KP9,KP10,KP11,KP12,KP13,KP14,KP15,CM1,CM2,CM3,CM4,CM5,KPB1,KPB2,KPB3,KPB4,KPB5,KPB6
11/25/2021 11.39.41,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/25/2021 11.40.17,26-35 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Citra Merek yang positif di masyarakat,,,,4,4,4,4,4,4,5,4,3,5,4,4,4,5,5,4,5,4,4,5,4,4,4,5,4,5,4,4,4,5
11/25/2021 11.51.19,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/25/2021 12.33.15,26-35 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,4,4,4,4,4,4,4,3,4,3,3,4,4,3,4,5,5,4,5,4,5,4,5,5,4,5,5,5,4,5
11/25/2021 13.00.53,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,4,5,4,5,5,4,5,4,5,5,5,4,4,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/25/2021 13.03.51,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,4,5,5,3,4,4,5,4,4,4,4,4,3,5,4,4,4,5,4,4,4,3,4,3,4,4,3,3
11/27/2021 17.35.23,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/27/2021 17.35.37,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/27/2021 17.43.54,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,Kualitas Produk yang baik,,,5,4,4,5,4,5,5,4,4,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,4,4,4,4,4,5
11/27/2021 19.55.01,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,5,4,5,4,3,4,4
11/27/2021 19.57.48,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
11/27/2021 20.39.05,13-25 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,2,5,5,5,5,5,5,4,4,4,5,4,5,4,5,4,4,3,3,5,4,4,4,4,5,4,4,4,4,5
11/29/2021 16.02.53,26-35 tahun,Male,Duta Futsal & Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,5,4,4,3,4,5,4,4,3,3,5,5,5,5,3,4,5,3,3,4,4,4,4,4,5,5,4,4,4,4
11/29/2021 16.07.59,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
11/29/2021 16.12.53,13-25 tahun,Male,Golden Sport Center,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,4,3,3,3,3,3,5,3,3,4,3,5,4,4,3,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4
11/29/2021 16.29.46,36-45 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Kualitas Produk yang baik,,,,5,4,5,5,5,5,5,5,5,4,3,5,4,2,2,5,5,5,4,4,5,3,4,3,5,5,5,4,4,3
11/29/2021 18.09.34,13-25 tahun,Male,Arena Futsal,"YA, jika YA, silakan melanjutkan pertanyaan berikutnya!",Harga produk yang terjangkau,,,,4,4,4,4,4,4,4,4,3,3,3,3,4,3,3,3,4,4,3,4,4,3,3,3,4,2,4,4,4,4
